Species,File,N_whistles,Delphinus,S_attenuata,S_bredanensis,S_clymene,S_frontalis,S_longirostris,T_truncatus,Max_Score,Ambiguity,Second_Max_Value,Max_Col,Second_Max_Col,Prediction
S_attenuata,S_attenuata_PMC_20_A13_RoccaContourStats.csv,30,0.012,0.629,0.004,0.005,0.249,0.037,0.063,0.629,no,0.249,S_attenuata,S_frontalis,True
S_attenuata,S_attenuata_PMC_BS_20_A43_RoccaContourStats.csv,16,0.014,0.416,0.002,0.011,0.152,0.268,0.137,0.416,no,0.268,S_attenuata,S_longirostris,True
S_attenuata,S_attenuata_PMC_BS_20_A46_RoccaContourStats.csv,52,0.004,0.682,0.002,0.004,0.22,0.024,0.065,0.682,no,0.22,S_attenuata,S_frontalis,True
S_clymene,S_clymene_PMC_20_A15_RoccaContourStats.csv,15,0.032,0.013,0.005,0.823,0.025,0.019,0.083,0.823,no,0.083,S_clymene,T_truncatus,True
S_frontalis,S_frontalis_PMC_20_A28_RoccaContourStats.csv,9,0.007,0.116,0.001,0.001,0.812,0.037,0.025,0.812,no,0.116,S_frontalis,S_attenuata,True
S_frontalis,S_frontalis_PMC_20_A29_RoccaContourStats.csv,2,0.318,0.111,0.026,0.045,0.12,0.191,0.189,0.318,no,0.191,Delphinus,S_longirostris,False
S_frontalis,S_frontalis_PMC_20_A36_RoccaContourStats.csv,5,0.205,0.06,0.057,0.045,0.23,0.063,0.34,0.34,no,0.23,T_truncatus,S_frontalis,False
S_frontalis,S_frontalis_PMC_BS_20_A23_RoccaContourStats.csv,26,0.164,0.056,0.074,0.026,0.453,0.066,0.161,0.453,no,0.164,S_frontalis,Delphinus,True
S_frontalis,S_frontalis_PMC_BS_20_A31_RoccaContourStats.csv,44,0.011,0.021,0.003,0.005,0.906,0.007,0.046,0.906,no,0.046,S_frontalis,T_truncatus,True
S_frontalis,S_frontalis_PMC_BS_20_A38_RoccaContourStats.csv,10,0.116,0.017,0.033,0.007,0.712,0.007,0.108,0.712,no,0.116,S_frontalis,Delphinus,True
S_frontalis,S_frontalis_PMC_BS_20_A42_RoccaContourStats.csv,5,0.007,0.031,0.001,0.006,0.902,0.006,0.047,0.902,no,0.047,S_frontalis,T_truncatus,True
S_longirostris,S_longirostris_PMC_BS_20_A35_RoccaContourStats.csv,13,0.014,0.007,0.002,0.006,0.004,0.928,0.038,0.928,no,0.038,S_longirostris,T_truncatus,True
